iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.129709816557	0.131043425926	0.54	0.54	0.324645474
10	0.135553721472	0.128157004678	0.455	0.535	3.136114061
20	0.133014898333	0.130588144557	0.53	0.525	5.432528116
30	0.130188494311	0.132442421746	0.52125	0.52	7.646984477
40	0.126403878955	0.128777819667	0.54125	0.495	9.853457611
50	0.125206405135	0.124470100206	0.55	0.56	11.909488615
60	0.126427340845	0.123050035428	0.525	0.54	13.993836063
70	0.127318161471	0.130525316157	0.525	0.515	16.029064719
80	0.126529374815	0.128234849425	0.5475	0.55	18.057914714
90	0.127760077879	0.12735611307	0.525	0.525	20.076954494
100	0.124530321981	0.12750500927	0.535	0.55	22.051307337
110	0.131595705559	0.131674730185	0.51875	0.55	24.04892
120	0.124272035923	0.123963200394	0.54375	0.54	25.985229963
130	0.130132008951	0.131207619947	0.55125	0.535	28.047834722
140	0.124373611267	0.127479327813	0.55125	0.5	30.046335115
150	0.125754634179	0.130051154832	0.57125	0.525	32.246840608
160	0.122581252537	0.124994890045	0.59125	0.565	34.774348321
170	0.124540076151	0.124554189691	0.565	0.595	36.771962377
180	0.12364811499	0.122458486632	0.5325	0.53	38.863277566
190	0.12329504699	0.126192406569	0.53375	0.49	41.040870738
200	0.122441149519	0.122903407315	0.5425	0.53	43.077588073
210	0.124002615592	0.127310565173	0.55125	0.515	45.030186145
220	0.121740741812	0.122571341164	0.55125	0.54	47.066918639
230	0.121840171206	0.128110886408	0.56	0.53	49.155084198
240	0.122778912583	0.124245894614	0.55	0.55	51.243653017
250	0.121370696913	0.122806454649	0.55875	0.555	53.209842707
260	0.123217033962	0.124650338018	0.5475	0.53	55.298224779
270	0.121687414551	0.124000279514	0.555	0.53	57.398166268
280	0.122213859151	0.122277624389	0.55375	0.545	59.450006853
290	0.121532722338	0.122787825861	0.555	0.535	61.635614202
300	0.121348062881	0.122408301926	0.56	0.545	63.77895151
310	0.121494366997	0.122382491627	0.56	0.535	65.847677902
320	0.121795242482	0.122927653407	0.5525	0.52	68.113171418
330	0.121378946925	0.12268551312	0.55625	0.535	70.380454777
340	0.121761724479	0.122798835317	0.55125	0.53	72.400431665
350	0.12215912718	0.122745464723	0.54875	0.535	74.378733737
360	0.121900787465	0.12328569737	0.55	0.525	76.438162989
370	0.121932393263	0.123386149459	0.5475	0.52	78.460451388
380	0.121906622254	0.12266445921	0.545	0.52	80.475367687
390	0.121918559414	0.122919422098	0.53875	0.525	82.540157318
400	0.122147473909	0.122854821234	0.54375	0.52	84.703539262
410	0.122046087979	0.122861641711	0.5425	0.525	86.99845084
420	0.122006971359	0.122659131681	0.5425	0.51	89.168781001
430	0.122309557295	0.122886513343	0.53875	0.515	91.267140625
440	0.12215709122	0.123040050376	0.54375	0.525	93.434026501
450	0.12214358398	0.123040941117	0.54625	0.53	95.495322359
460	0.12207257261	0.122866763215	0.54625	0.52	97.597273484
470	0.122100957222	0.122979981723	0.545	0.52	99.697791208
480	0.122002745148	0.122434242163	0.545	0.53	101.68728782
490	0.122787338497	0.123509047456	0.53875	0.52	103.739843039
500	0.122101664508	0.123380871307	0.54125	0.51	105.915304108
510	0.12227680489	0.123035738741	0.5425	0.525	108.001459677
520	0.121978520558	0.122956133849	0.545	0.535	110.032648272
530	0.122198871489	0.122753789938	0.54625	0.525	112.058028353
540	0.121658933062	0.122953415381	0.54375	0.525	114.133279099
550	0.122079570267	0.123261842158	0.54375	0.52	116.196506699
560	0.12179132088	0.12247748194	0.545	0.53	118.47013958
570	0.122085055316	0.122882780299	0.5425	0.515	120.722422637
580	0.121911382372	0.122416483915	0.56375	0.58	122.817219128
590	0.121952132876	0.122798816491	0.54125	0.525	124.842612354
600	0.122206703697	0.122325644096	0.56875	0.58	126.929588599
610	0.122170757286	0.122517883649	0.56375	0.58	129.052088622
620	0.122105987364	0.122368547584	0.565	0.59	131.123940056
630	0.122239114771	0.122590073845	0.5625	0.585	133.19933191
