iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.143548166388	0.148176639873	0.495	0.445	0.209860755
10	0.138473676215	0.130744364352	0.5	0.54	2.849669269
20	0.132500826513	0.131050521784	0.49375	0.51	4.920880817
30	0.145475347602	0.144712566949	0.52125	0.52	7.11756988
40	0.126262985074	0.126009397386	0.56	0.57	9.404870989
50	0.134649370877	0.13126699063	0.5525	0.53	11.596500056
60	0.130874270499	0.134002733085	0.5025	0.49	13.929223526
70	0.134125519198	0.128976787964	0.5075	0.51	16.263730655
80	0.118562264291	0.122114573187	0.5825	0.58	18.439807062
90	0.121738858809	0.125670993072	0.575	0.57	20.620133735
100	0.126636803943	0.126405104222	0.50875	0.54	22.872217254
110	0.123665198275	0.123563289062	0.5275	0.52	25.053281723
120	0.120176930042	0.122400633204	0.57875	0.55	27.244567671
130	0.122094742801	0.124976935652	0.57	0.56	29.622030272
140	0.121486763305	0.12484908849	0.5625	0.545	31.905853536
150	0.121206988273	0.1243061671	0.57	0.57	34.153160101
160	0.122807154769	0.12479331335	0.57	0.535	36.551795177
170	0.120771025088	0.124647243054	0.57875	0.56	38.840803506
180	0.119779073844	0.125806436042	0.57875	0.56	41.045741156
190	0.121292892145	0.126809503865	0.55125	0.54	43.361890712
200	0.121510568763	0.127165271924	0.57	0.53	45.652087982
210	0.121805088825	0.12722091044	0.5525	0.555	48.207443397
220	0.12068304582	0.125886582947	0.565	0.56	50.523229111
230	0.121503208178	0.127438593499	0.565	0.55	52.83100707
240	0.120930438907	0.12702070243	0.56875	0.56	55.271257185
250	0.121535341965	0.127406460716	0.5625	0.535	57.565770921
260	0.120782367324	0.127630444356	0.5725	0.555	59.785273906
270	0.120664439864	0.127083091037	0.57	0.56	62.260376
280	0.121813461212	0.127560059343	0.55625	0.555	64.820625307
290	0.121646071645	0.127334081431	0.56375	0.56	67.688015062
300	0.121700397813	0.127344091726	0.55875	0.555	70.024198499
310	0.121459753399	0.126232307751	0.55875	0.56	72.348030535
320	0.121499311119	0.126233847173	0.5575	0.575	74.671862058
330	0.121743637165	0.126878209843	0.55375	0.545	76.941877255
340	0.121704493396	0.126026901068	0.55875	0.545	79.303912855
