iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.131103143092	0.125138018071	0.54875	0.585	0.461409244
10	0.142812342285	0.137923584593	0.4225	0.48	4.2698777
20	0.138550896892	0.141043232196	0.51125	0.505	7.670707514
30	0.123988822816	0.125170076906	0.56625	0.55	11.554463243
40	0.13182287202	0.146953911902	0.51	0.455	15.441124545
50	0.128159543661	0.138717813226	0.52875	0.465	19.411898723
60	0.12161252111	0.123212965492	0.57	0.6	23.043223121
70	0.128105701063	0.133931155414	0.5175	0.46	26.855731338
80	0.122789282542	0.130775862927	0.57875	0.52	30.439772573
90	0.122751912757	0.124935966331	0.56875	0.56	34.36106624
100	0.121946186287	0.128770738953	0.5675	0.545	38.242515501
110	0.123197045084	0.12697639636	0.57625	0.56	41.961864353
120	0.124937786597	0.127599350551	0.55625	0.525	45.683581956
130	0.125401319109	0.126580444338	0.5575	0.545	49.669014524
140	0.120218690583	0.123344776892	0.595	0.575	53.518673608
150	0.126190647811	0.128931285346	0.54625	0.535	57.29282176
160	0.123346085995	0.127466340689	0.57875	0.545	61.087581386
170	0.121920750096	0.122702793954	0.5925	0.565	65.296064136
180	0.122330128973	0.123415774928	0.58625	0.58	69.544449748
190	0.121760593242	0.125913342743	0.60125	0.555	73.554043013
200	0.122205768601	0.124545229037	0.59125	0.6	77.319720763
210	0.121085650881	0.126754803342	0.60375	0.535	81.109671291
220	0.122443097166	0.125920155459	0.59875	0.57	85.190239891
230	0.122358579198	0.12416355751	0.6	0.57	89.084883676
240	0.122706906912	0.124768499117	0.58875	0.575	92.859875068
250	0.123183516805	0.125807040579	0.59375	0.56	96.396840989
260	0.122060183775	0.125672267337	0.59	0.555	100.210339399
270	0.122778401044	0.125988504074	0.59375	0.565	104.16391192
280	0.123608941758	0.127116255919	0.5875	0.55	108.0644306
290	0.122446520315	0.125790016642	0.59	0.575	112.162717029
300	0.121985845842	0.12620763594	0.5925	0.56	116.062731865
310	0.122165924304	0.125735515058	0.59375	0.55	119.940064981
320	0.121387514708	0.125560068195	0.60875	0.57	123.666979643
330	0.121846217322	0.126232128383	0.59625	0.555	127.307447341
340	0.121406283258	0.125468847846	0.6025	0.56	131.538624264
350	0.121417145314	0.124108463052	0.60375	0.58	136.072155875
360	0.124787069864	0.1281062084	0.56625	0.525	140.001710704
370	0.121296574108	0.12423218077	0.605	0.585	143.74196278
380	0.121111179266	0.123728508359	0.605	0.575	147.621762425
390	0.120908069754	0.1234824478	0.60375	0.575	151.691273312
400	0.12433616232	0.128423283043	0.55375	0.545	155.618318695
410	0.121133827881	0.12336597229	0.60375	0.585	159.980312419
420	0.124023515198	0.12715525953	0.56375	0.53	163.689196303
430	0.123997351909	0.127645423535	0.56125	0.535	167.527606031
440	0.123893094763	0.127333585309	0.55875	0.54	171.172553771
450	0.124375205031	0.127684434656	0.565	0.53	175.250451463
460	0.121925972154	0.12472101082	0.57875	0.555	179.318918306
470	0.123808271547	0.126592840267	0.56375	0.55	183.285522148
480	0.123263498486	0.126089260153	0.56875	0.54	187.028885111
490	0.123098218543	0.126198433325	0.57125	0.55	190.915111255
500	0.125243267873	0.128474626226	0.55875	0.54	194.684682084
510	0.122367743676	0.1250120077	0.5675	0.54	198.488195274
520	0.124133262732	0.127031958401	0.56375	0.53	203.199073901
530	0.123138236877	0.126102518361	0.56375	0.535	207.342514002
540	0.123509710716	0.125936307839	0.56375	0.53	211.23238728
550	0.123129855443	0.125817173821	0.56625	0.52	215.170993358
560	0.123756188284	0.127027476332	0.565	0.525	219.198775977
570	0.12369817651	0.12651227007	0.56375	0.535	223.087183203
580	0.123474234154	0.125821271978	0.555	0.515	227.663440703
590	0.123302327942	0.125343690917	0.57	0.53	231.591703542
600	0.121757992195	0.123507968435	0.57125	0.555	235.482886641
610	0.123387067019	0.125713663687	0.56	0.525	239.172199196
620	0.123012549908	0.125455320173	0.5625	0.52	243.287273261
630	0.122541333911	0.124338460024	0.57125	0.555	247.156792846
640	0.122429119183	0.124364896643	0.57	0.55	251.189441094
650	0.121352382455	0.123177081798	0.57125	0.55	255.079037113
660	0.121476689948	0.12276319375	0.575	0.555	258.884537309
670	0.121511278147	0.122983252813	0.565	0.55	262.829882835
680	0.121326161152	0.122741259086	0.57125	0.555	266.695849207
690	0.121349183544	0.122920382917	0.5775	0.555	269.918275278
700	0.121046748454	0.122326555084	0.575	0.555	273.187578145
710	0.121052240318	0.121803444206	0.57375	0.575	276.340255268
720	0.121203855555	0.122659120978	0.575	0.555	279.46062383
730	0.121545571898	0.123166819638	0.5775	0.555	282.773618846
740	0.12144416435	0.122901166097	0.5725	0.565	286.090906051
750	0.121623905515	0.123620794028	0.565	0.555	288.573895896
760	0.121356824799	0.123159938625	0.57125	0.565	291.177696808
770	0.121182851638	0.122893585892	0.5725	0.565	293.788665627
780	0.1217943293	0.124218948272	0.57	0.535	296.408239551
790	0.12078779826	0.122179259898	0.56125	0.56	298.924508467
800	0.122322318296	0.125077691777	0.5625	0.56	301.533094252
810	0.12092775838	0.121628952958	0.56875	0.595	304.024552818
820	0.121548564322	0.123454886926	0.56125	0.57	306.683375516
830	0.121874630969	0.125374209613	0.56125	0.56	309.148463218
840	0.121231133506	0.123147725782	0.5725	0.57	311.922778574
850	0.1208763395	0.122007402843	0.575	0.595	314.547906653
860	0.121015057996	0.123599318485	0.5725	0.57	317.071517846
870	0.121354336936	0.123598565059	0.57	0.575	319.592035872
880	0.121149572726	0.123482397777	0.565	0.57	322.171586702
890	0.121254348856	0.12389038478	0.57125	0.565	324.763926924
900	0.121172245398	0.123692751065	0.5675	0.565	327.238608744
910	0.121331423598	0.124203206231	0.56625	0.57	329.676106316
920	0.121149003548	0.124336734585	0.57375	0.55	332.306477507
930	0.121239186199	0.12387605334	0.56875	0.585	334.712099812
940	0.121259404288	0.123415007248	0.575	0.57	337.225304467
950	0.121359717949	0.123990621045	0.56875	0.58	339.548505587
960	0.121200944801	0.124207552052	0.575	0.565	342.012815604
970	0.120845287408	0.123598503241	0.5925	0.605	344.742456544
980	0.120923689547	0.123483246787	0.57625	0.545	347.398189151
990	0.120940617172	0.123962629813	0.57125	0.565	349.806131202
1000	0.121153249899	0.124424289807	0.5725	0.54	352.235914451
1010	0.120739179355	0.123856961461	0.5775	0.545	354.930989782
1020	0.120414025402	0.123912524075	0.58	0.565	357.479247462
1030	0.121298751748	0.124697746565	0.57	0.555	359.941445381
1040	0.121060634188	0.124516915215	0.565	0.545	362.674553495
1050	0.121342098236	0.124412616092	0.5725	0.55	365.15909892
1060	0.121181151631	0.123895575401	0.5675	0.55	368.704376313
1070	0.1210158187	0.124032865565	0.56625	0.515	371.416071765
1080	0.120626469236	0.123929286342	0.5775	0.55	373.950846731
1090	0.120406862846	0.123429493149	0.58125	0.565	376.381907649
1100	0.12022297699	0.122255242501	0.57625	0.56	379.010674426
1110	0.120807145468	0.123867571314	0.5725	0.55	381.538500053
1120	0.120956075465	0.124205649987	0.57375	0.555	384.034731809
1130	0.120330400237	0.123111907406	0.595	0.56	386.530752629
1140	0.120992830517	0.124046458176	0.57875	0.55	389.008868375
1150	0.120813456748	0.124196018937	0.57125	0.54	391.605827579
1160	0.121744628365	0.12436862379	0.57625	0.55	394.216459207
1170	0.120858831523	0.124097516705	0.5725	0.535	396.750715322
1180	0.120939920643	0.123702225577	0.5825	0.55	399.374017629
1190	0.121264536276	0.123848907522	0.575	0.555	401.714703197
1200	0.120942684753	0.123148755231	0.57875	0.56	404.185505095
1210	0.121280935722	0.124036863002	0.57625	0.565	406.618951142
1220	0.120897061856	0.123686479932	0.575	0.555	409.15841508
1230	0.121702742396	0.123933726065	0.5675	0.56	411.606621745
1240	0.121687179831	0.124231485382	0.56625	0.555	414.141522482
1250	0.121245197895	0.124205123921	0.5725	0.565	416.685859983
1260	0.121636467731	0.124605244912	0.57125	0.565	419.407795296
1270	0.121156539058	0.12416420222	0.57	0.565	421.911913281
1280	0.121664675535	0.123982010293	0.56875	0.56	424.515740342
1290	0.121762210926	0.124458335783	0.565	0.565	427.082117602
1300	0.121420413002	0.124001728199	0.5825	0.57	429.585133924
1310	0.121506053808	0.124091465264	0.57125	0.57	432.196445787
1320	0.121396343582	0.123429535931	0.58125	0.57	434.796197595
1330	0.121388756463	0.123507378622	0.57625	0.57	437.36383007
1340	0.121153678834	0.123703734855	0.5775	0.575	440.022488837
1350	0.12191292354	0.124138456734	0.56625	0.545	442.566411107
1360	0.12216162985	0.124822177564	0.565	0.545	445.307784789
1370	0.121696289473	0.12381499681	0.5775	0.565	447.887843823
1380	0.121776653725	0.123745329959	0.57625	0.57	450.322199435
1390	0.122129133672	0.125819701788	0.595	0.53	452.889187216
1400	0.121745417761	0.124694984097	0.58	0.565	455.666756764
1410	0.122117478106	0.126920357348	0.5925	0.525	458.247889293
1420	0.121387717614	0.125907896838	0.59625	0.525	460.765348902
1430	0.122243782959	0.125692848399	0.5925	0.53	463.277770088
1440	0.121393038728	0.126047155767	0.5875	0.52	466.400238914
1450	0.121980193417	0.128082799743	0.5925	0.525	469.103113514
1460	0.121515872389	0.126454112678	0.595	0.515	471.889458181
1470	0.121573390418	0.126918619804	0.595	0.52	474.59438449
1480	0.122404682986	0.127090311819	0.59375	0.53	477.269605725
1490	0.121568942248	0.12678244735	0.59625	0.52	479.93901201
1500	0.122292319218	0.127785716569	0.58625	0.505	482.555714267
1510	0.121312709558	0.125686984158	0.58125	0.53	485.099471328
1520	0.121695592631	0.127323239025	0.59125	0.515	487.526433266
1530	0.121665615762	0.128201274062	0.595	0.52	490.041504619
1540	0.122613913295	0.128584867079	0.59	0.535	492.601296549
1550	0.122415833851	0.127247109187	0.5875	0.53	495.153909907
1560	0.122327115226	0.12751223037	0.5925	0.53	497.658540948
1570	0.121586015195	0.126236008595	0.59375	0.53	500.2230907
1580	0.122065907033	0.127553682038	0.5975	0.52	502.766845029
1590	0.122778782972	0.127573775187	0.59375	0.53	505.258098745
1600	0.122950937351	0.128042481761	0.59875	0.53	507.92951518
1610	0.120677819599	0.125799072225	0.60125	0.51	510.667765786
1620	0.121856488842	0.126934886155	0.595	0.535	513.298315044
1630	0.121478094881	0.126990529891	0.5975	0.535	515.929352822
1640	0.120830039746	0.125530893627	0.60125	0.54	518.508131704
1650	0.122633810057	0.127400327101	0.58625	0.525	521.106521099
1660	0.124591762202	0.130806451521	0.55125	0.515	523.808458834
1670	0.120604946615	0.125911013216	0.5975	0.525	526.408188017
1680	0.121674627561	0.126035594897	0.5875	0.525	528.861828764
1690	0.121728417049	0.127173260428	0.5925	0.505	531.288736142
1700	0.12341033986	0.12803698227	0.59375	0.53	533.893048829
1710	0.122022007142	0.127082243936	0.59125	0.535	536.389758199
1720	0.122289826354	0.126880538805	0.59	0.535	538.881295088
1730	0.1211503641	0.126365484703	0.58875	0.535	541.282437642
1740	0.12105335132	0.126097741468	0.59125	0.525	543.692363086
1750	0.123404348747	0.128852621603	0.59375	0.52	546.158592651
1760	0.12217021791	0.125718740211	0.58625	0.54	548.58594037
1770	0.12197829019	0.126830645244	0.58875	0.525	551.28865305
1780	0.122504609855	0.12619243929	0.58875	0.545	553.866997616
1790	0.122413269498	0.127135919651	0.5825	0.535	556.38095376
1800	0.121462308659	0.126800700236	0.58875	0.53	558.996326557
1810	0.121974393005	0.127107226676	0.59125	0.54	561.503732692
1820	0.122133786427	0.127564242896	0.59375	0.545	563.967636269
1830	0.122151965006	0.126757619131	0.59	0.535	566.547875615
1840	0.122474040133	0.128770604097	0.5875	0.515	569.140035543
1850	0.122603780136	0.126985899771	0.5875	0.535	571.511692972
1860	0.122798481594	0.126944375848	0.59125	0.54	573.909427217
1870	0.121192887447	0.126938393042	0.59375	0.535	576.413939522
1880	0.122414809257	0.127678504482	0.59	0.52	579.021718005
1890	0.122226579886	0.127232006918	0.5925	0.51	581.454563758
1900	0.122664227183	0.12759134901	0.5925	0.52	583.941778901
