iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.154261721465	0.143651969198	0.49625	0.505	0.057451824
10	0.154228344923	0.143511927157	0.495	0.51	0.57791206
20	0.154144173201	0.143446335899	0.495	0.51	0.884746428
30	0.154098783688	0.143267869764	0.495	0.51	1.101603948
40	0.154099765217	0.143316481	0.495	0.51	1.226834824
50	0.155846536968	0.145039274978	0.495	0.52	1.36583687
60	0.15572831704	0.145212828811	0.495	0.52	1.48694612
70	0.155832388742	0.145102968156	0.495	0.52	1.603778236
80	0.155635376709	0.145013335772	0.495	0.52	1.714450664
90	0.155566142258	0.144930634586	0.495	0.52	1.812766546
100	0.155566809057	0.14490395258	0.495	0.52	1.908511546
110	0.155321260749	0.144738002612	0.49625	0.515	2.002797203
120	0.153227518058	0.143830433264	0.49625	0.52	2.096918235
130	0.149547424881	0.141258613743	0.50125	0.525	2.213520095
140	0.149048828096	0.140893455719	0.50125	0.53	2.339291543
150	0.14898383044	0.14082663938	0.50125	0.53	2.437137583
160	0.14888496939	0.14058612227	0.50125	0.53	2.536178249
170	0.148846986843	0.140623578403	0.50125	0.53	2.635037006
180	0.148861808242	0.140619337235	0.50125	0.53	2.738743259
190	0.14876459703	0.140482924336	0.5	0.53	2.869402174
200	0.147179103594	0.138468553089	0.4975	0.535	2.979862943
210	0.146866775639	0.138309290889	0.4975	0.535	3.078987128
220	0.146692335899	0.138190464311	0.4975	0.535	3.182310474
230	0.14659279888	0.138145786687	0.4975	0.535	3.286968106
240	0.146238468466	0.137961330684	0.5	0.535	3.39673802
250	0.146072394103	0.137871547808	0.50125	0.535	3.50628945
260	0.146050962262	0.137804728679	0.50125	0.535	3.618756459
270	0.145997036024	0.137818871042	0.5025	0.535	3.726692228
280	0.145525922711	0.137243637701	0.5025	0.535	3.831855126
290	0.144657611196	0.13643987569	0.50125	0.535	3.937184305
300	0.144604243387	0.136396082907	0.50125	0.535	4.039224514
310	0.14437421125	0.1362299455	0.50125	0.535	4.155873503
320	0.144238515398	0.135725655273	0.50375	0.535	4.254794769
330	0.144205094855	0.135543421767	0.5025	0.535	4.35361989
340	0.143876111891	0.135213572205	0.50375	0.535	4.45627665
350	0.143814379696	0.135279627739	0.50375	0.535	4.568219571
360	0.143779472959	0.135372493093	0.50625	0.535	4.668047651
370	0.143623066125	0.135004240083	0.5075	0.535	4.780227798
380	0.143389731239	0.134843544937	0.5075	0.535	4.891817139
390	0.142611245292	0.133798705472	0.51125	0.555	4.990307275
400	0.142682224364	0.133898796887	0.51125	0.555	5.099610693
410	0.142591314996	0.133995462338	0.5125	0.555	5.201786388
420	0.142332495852	0.133569841671	0.515	0.555	5.303489266
430	0.141914593013	0.133206422438	0.51875	0.555	5.414916171
440	0.141588327208	0.132990327182	0.52	0.56	5.521852621
450	0.141459366257	0.133091697036	0.52125	0.56	5.641612705
460	0.140916344787	0.132517931441	0.52375	0.565	5.758203535
470	0.140938828705	0.132391001472	0.5225	0.57	5.859121797
480	0.14057118565	0.132365757266	0.5225	0.57	5.958850956
490	0.139865987065	0.132037605129	0.5275	0.575	6.056844247
500	0.139361698424	0.130893285893	0.52875	0.575	6.166234305
510	0.139203239146	0.130845692308	0.52875	0.58	6.273318362
520	0.139193619275	0.130630072781	0.5275	0.575	6.380503476
530	0.138827566148	0.130411007236	0.5275	0.575	6.480119237
540	0.138800822302	0.130444526878	0.5275	0.575	6.576714634
550	0.138594990772	0.130346669041	0.52875	0.575	6.675066587
560	0.138506409508	0.130238310401	0.5275	0.575	6.78212234
570	0.136579086886	0.129246881012	0.52625	0.575	6.87726824
580	0.134684989325	0.127629420979	0.53375	0.575	6.973297415
590	0.134411556889	0.127558328253	0.535	0.575	7.074202363
600	0.134743797478	0.128113326259	0.5325	0.565	7.177639698
610	0.134208639465	0.127760651694	0.535	0.575	7.282165996
620	0.134195875904	0.127859766044	0.53625	0.575	7.378290936
630	0.133553010206	0.127079205563	0.53625	0.575	7.476324554
640	0.133739352253	0.126725492438	0.53625	0.575	7.572611013
650	0.133365274289	0.126426883574	0.53625	0.575	7.669524505
660	0.133364574661	0.126443797081	0.53625	0.575	7.767372234
670	0.133273542954	0.126396100712	0.53625	0.575	7.870954722
680	0.133023975547	0.1264884436	0.53625	0.57	7.970096006
690	0.132939930873	0.126419301597	0.535	0.58	8.070805744
700	0.132825775871	0.126268249444	0.535	0.58	8.165981393
710	0.13234908534	0.125839497467	0.53375	0.58	8.262283481
720	0.132257064382	0.125831510147	0.54	0.58	8.364552675
730	0.132147074491	0.125627934939	0.54	0.58	8.461397689
740	0.132094284831	0.125636167461	0.54	0.58	8.557270006
750	0.132025833871	0.125538919834	0.53875	0.58	8.656114745
760	0.131638230169	0.125303755922	0.5375	0.58	8.751905955
770	0.131463886822	0.125072060538	0.5375	0.58	8.847538709
780	0.130945628546	0.124780993271	0.5375	0.58	8.953566894
790	0.130894275375	0.1247357976	0.54	0.58	9.047866031
800	0.13087976718	0.124694325155	0.5425	0.58	9.143267511
810	0.130815360101	0.12471227622	0.54125	0.58	9.238817103
820	0.130704514802	0.124768337552	0.5425	0.58	9.336288465
830	0.130576396002	0.124666102555	0.545	0.575	9.444470483
840	0.130176937944	0.124310685358	0.545	0.575	9.543061403
850	0.129926593131	0.124257777586	0.5475	0.575	9.645228737
860	0.129706258153	0.124128743652	0.54625	0.575	9.74602504
870	0.129508286717	0.124019648385	0.5475	0.575	9.842526992
880	0.129433422093	0.123921909161	0.5475	0.565	9.949061338
890	0.129102209129	0.12395313029	0.55	0.57	10.046174057
900	0.129097361979	0.12395313029	0.55	0.57	10.14585717
910	0.128674053051	0.12393586837	0.54625	0.57	10.245606104
920	0.128357405067	0.123499187173	0.54625	0.57	10.374870701
930	0.128460199101	0.123987505869	0.545	0.565	10.557541463
940	0.128040966435	0.123711249112	0.545	0.555	10.677604791
950	0.127897905818	0.123738373951	0.545	0.56	10.773275792
960	0.127448399279	0.123721091349	0.54875	0.575	10.871008803
970	0.127298326514	0.123594747095	0.55	0.575	10.978719749
980	0.127321309623	0.12357952925	0.55	0.575	11.095963702
990	0.126340314821	0.123121994291	0.545	0.56	11.201565868
1000	0.126252702205	0.123114632734	0.545	0.56	11.332278731
1010	0.126170031631	0.123063803972	0.54625	0.56	11.515187687
1020	0.125996023759	0.122951766235	0.54875	0.565	11.655767937
1030	0.125886109281	0.122851855673	0.55	0.565	11.762616469
1040	0.125444581252	0.122054088716	0.5525	0.57	11.871754402
1050	0.125390168538	0.121984502624	0.5525	0.57	11.974645603
1060	0.125345949781	0.121953139619	0.5525	0.575	12.075565742
1070	0.125218203546	0.12213287348	0.55375	0.575	12.185509259
1080	0.125143654519	0.122095495043	0.55375	0.575	12.293009123
1090	0.125109985967	0.122322634859	0.55375	0.575	12.397681512
1100	0.124675379628	0.121317720979	0.55375	0.575	12.502983004
1110	0.125002152134	0.121401033406	0.55375	0.575	12.605970503
1120	0.124576757313	0.121274093449	0.55375	0.575	12.71765409
1130	0.124533550994	0.121285134931	0.55375	0.575	12.820220658
1140	0.124458852177	0.121311528891	0.55375	0.575	12.920957425
1150	0.124336117119	0.12130859322	0.55375	0.575	13.020809219
1160	0.124551516454	0.121507984019	0.5525	0.57	13.116274826
1170	0.124213747477	0.121273408841	0.55875	0.575	13.212349957
