iteration	error_train	error_test	accuracy_train	accuracy_test	elapsed
0	0.136321739593	0.134650446086	0.48875	0.51	0.009692234
10	0.136379244217	0.134599079627	0.485	0.505	0.190058238
20	0.136008239128	0.133950274918	0.48875	0.505	0.323710143
30	0.136852899269	0.134577857418	0.49125	0.505	0.434362686
40	0.136874451157	0.134536860158	0.49125	0.505	0.531775373
50	0.136825272193	0.134418766734	0.49	0.505	0.634750833
60	0.13664824895	0.134521311993	0.4875	0.505	0.733373312
70	0.136720704179	0.134657070642	0.48625	0.51	0.831641803
80	0.136849423167	0.13486862275	0.4825	0.51	0.935716409
90	0.137795308347	0.1361254998	0.4875	0.505	1.032700883
100	0.137826313024	0.136012813682	0.49	0.505	1.129631005
110	0.13784048772	0.135827226687	0.49	0.51	1.220044643
120	0.138982686434	0.13604619831	0.48625	0.515	1.314136076
130	0.138738469457	0.135975444591	0.48875	0.515	1.407896124
140	0.139567049567	0.135426742036	0.49625	0.53	1.502205547
150	0.139587602413	0.135536947552	0.49375	0.52	1.600603831
160	0.139516687567	0.135442933763	0.49375	0.52	1.693991928
170	0.13947155568	0.135456440039	0.49375	0.52	1.786051786
180	0.142377906006	0.137896178653	0.49875	0.515	1.888560197
190	0.142504054363	0.137893145655	0.49875	0.515	1.986147943
200	0.142574569043	0.137192632638	0.5025	0.52	2.07969508
210	0.14246371964	0.137064271124	0.5025	0.52	2.176276675
220	0.142478943752	0.137002413034	0.5025	0.525	2.270437799
230	0.142435989133	0.137180205789	0.5025	0.525	2.366559854
240	0.14192780301	0.137321711425	0.5	0.53	2.464394671
250	0.142030272236	0.136892269869	0.49875	0.53	2.560435464
260	0.141546015286	0.136849258537	0.49625	0.525	2.654597395
270	0.141473514914	0.136862854873	0.49625	0.525	2.753028645
280	0.141333757999	0.13694677516	0.4975	0.525	2.848559149
290	0.141292542837	0.136988887983	0.4975	0.525	2.950949178
300	0.141225495093	0.13691993713	0.4975	0.525	3.050313898
310	0.141094033771	0.136707561269	0.49875	0.525	3.150667988
320	0.140989896386	0.136724550103	0.49875	0.525	3.254352127
330	0.140889155209	0.136723624255	0.49875	0.525	3.354694237
340	0.140581682668	0.136593999299	0.49875	0.525	3.45595765
350	0.140059752182	0.13634133728	0.5025	0.53	3.554853964
360	0.140069904882	0.136313509776	0.5025	0.525	3.655585785
370	0.140092982332	0.136286298528	0.5025	0.525	3.756666682
380	0.140031237483	0.136268005465	0.5025	0.525	3.854563126
390	0.139990323055	0.136338661294	0.5025	0.53	3.951728728
400	0.139853029372	0.136275226094	0.5025	0.525	4.054762027
410	0.139806157313	0.136218910008	0.50125	0.525	4.15358307
420	0.139738512793	0.136141121015	0.50125	0.525	4.252102611
430	0.139692320562	0.136190243314	0.5025	0.525	4.350497363
440	0.139407829596	0.135953935842	0.505	0.53	4.455271826
450	0.133418757157	0.130223054651	0.5125	0.525	4.555944175
460	0.133826950305	0.130778003116	0.51	0.525	4.656971629
470	0.133360735232	0.130137717561	0.515	0.525	4.761698069
480	0.133207819209	0.130019830172	0.51625	0.525	4.860398962
490	0.133037526914	0.129793753648	0.5175	0.525	4.961124265
500	0.132850028674	0.129827391223	0.5175	0.525	5.058932795
510	0.132710437468	0.129823140689	0.5175	0.525	5.159171519
520	0.132453757889	0.129524500925	0.51875	0.525	5.25972772
530	0.131202680882	0.128613617701	0.51875	0.515	5.356079542
540	0.130828532916	0.128685804515	0.5175	0.52	5.452984065
550	0.130687568819	0.128699181789	0.51625	0.52	5.549457239
560	0.129344155353	0.127335715409	0.52375	0.535	5.6459158
570	0.129175151861	0.12733088113	0.52375	0.535	5.743753714
580	0.129078854192	0.127228066374	0.52375	0.53	5.841892457
590	0.127774797784	0.126559758876	0.52625	0.53	5.938971436
600	0.127538627551	0.126421089307	0.52625	0.525	6.041329451
610	0.127513667948	0.126411545146	0.52625	0.525	6.14247018
